"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
"Sorry, something went wrong. You can find out more in the error log.","Maaf, ada yang tidak beres. Anda bisa mencari tahu lebih dalam di log kesalahan."
Unable to save address. Please check input data.,Tidak dapat menyimpan alamat. Silakan periksa data masukan.
Cart %1 doesn't contain products,Keranjang %1 tidak berisi produk
Could not apply coupon code,Tidak bisa menerapkan kode kupon
Coupon code is not valid,Kode kupon tidak valid
Could not delete coupon code,Tidak dapat menghapus kode kupon
Cannot assign customer to the given cart. You don't have permission for this operation.,Tidak dapat menugaskan pelanggan ke keranjang yang diberikan. Anda tidak memiliki izin untuk operasi ini.
Shipping address is not set,Alamat pengiriman tidak diatur
The requested Payment Method is not available.,Metode Pembayaran yang diminta tidak tersedia.
We found an invalid request for adding product to quote.,Kami menemukan permintaan yang tidak valid untuk menambahkan produk untuk mengutip.
Product that you are trying to add is not available.,Produk yang ingin Anda tambahkan tidak tersedia.
This is the wrong quote item id to update configuration.,Ini adalah id barang kutipan yang salah untuk memperbarui konfigurasi.
"This shipping method is not available. To use this shipping method, please contact us.","Metode pengiriman ini tidak tersedia. Untuk menggunakan metode pengiriman ini, silahkan hubungi kami."
The address model is not defined.,Model alamat tidak didefinisikan.
"The address total model should be extended from,module,Magento_Quote
\Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","Model total alamat harus diperpanjang,module,Magento_Quote
\Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
Grand Total,Total keseluruhan
Shipping & Handling (%1),Pengiriman & Penanganan (%1)
Shipping & Handling,Pengiriman & Penanganan
Shipping,Pengiriman
Subtotal,Subtotal
We found an invalid item option format.,Kami menemukan format opsi item yang tidak valid.
An item option with code %1 already exists.,Pilihan item dengan kode %1 sudah ada.
Item qty declaration error,Kesalahan qty item deklarasi
Some of the products below do not have all the required options.,Beberapa produk di bawah ini tidak memiliki semua opsi yang diperlukan.
Something went wrong during the item options declaration.,Ada yang tidak beres selama deklarasi opsi item.
We found an item options declaration error.,Kami menemukan kesalahan deklarasi opsi item.
Some of the selected options are not currently available.,Beberapa pilihan yang dipilih saat ini tidak tersedia.
Selected option(s) or their combination is not currently available.,Pilihan yang dipilih(s) atau kombinasi keduanya saat ini tidak tersedia.
Some item options or their combination are not currently available.,Beberapa opsi item atau kombinasi mereka saat ini tidak tersedia.
Cart %1 does not contain item %2,Keranjang %1 tidak berisi item %2
Could not save quote,Tidak bisa menyimpan quote
Cart %1 doesn't contain item  %2,Keranjang %1 tidak berisi item %2
Could not remove item from quote,Tidak dapat menghapus item dari kutipan
The qty value is required to update quote item.,Nilai qty diperlukan untuk memperbarui item kutipan.
Minimum order amount is %1,Jumlah minimum order adalah %1
Invalid customer id %1,Id pelanggan tidak valid %1
Invalid address id %1,Id alamat tidak valid %1
Invalid customer address id %1,Alamat pelanggan tidak valid id %1
Cannot create quote,Tidak bisa membuat penawaran
Cannot assign customer to the given cart. The cart belongs to different store.,Tidak dapat menugaskan pelanggan ke keranjang yang diberikan. Gerobak itu milik toko yang berbeda.
Cannot assign customer to the given cart. The cart is not anonymous.,Tidak dapat menugaskan pelanggan ke keranjang yang diberikan. Gerobak itu tidak anonim.
Cannot assign customer to the given cart. Customer already has active cart.,Tidak dapat menugaskan pelanggan ke keranjang yang diberikan. Pelanggan sudah memiliki gerobak aktif.
An error occurred on the server. Please try to place the order again.,Kesalahan terjadi pada server. Silakan coba untuk memesan lagi.
Invalid state change requested,Perubahan status tidak valid dimintakan
Only 1 shipping assignment can be set,Hanya 1 tugas pengiriman yang bisa diatur
This item price or quantity is not valid for checkout.,Item ini harga atau kuantitas tidak berlaku untuk checkout.
Please check the shipping address information. %1,Silakan periksa informasi alamat pengiriman. %1
Some addresses cannot be used due to country-specific configurations.,Beberapa alamat tidak dapat digunakan karena konfigurasi spesifik negara.
Please specify a shipping method.,Tentukan metode pengiriman.
Please check the billing address information. %1,Silakan periksa informasi alamat penagihan. %1
Please select a valid payment method.,Silakan pilih metode pembayaran yang valid.
Store Credit,Pulsa / Kredit Toko
Discount,Diskon
Tax,Pajak
Cart contains virtual product(s) only. Shipping address is not applicable.,Keranjang berisi produk(s) virtual saja. Alamat pengiriman tidak berlaku.
Shipping address not set.,Alamat pengiriman tidak diatur.
Cannot set shipping method. %1,Tidak bisa mengatur metode pengiriman %1
Shipping method is not applicable for empty cart,Pengiriman metode ini tidak berlaku untuk keranjang kosong
Cart contains virtual product(s) only. Shipping method is not applicable.,Keranjang ini berisi produk(s) virtual saja. Metode pengiriman tidak berlaku.
Minimum Order Amount Exceeded.,Jumlah Pesanan Minimum bisa Melebihi.
error345,kesalahan3456
Carts,Keranjang Belanja
Manage carts,Kelola troli
"Unable to save address. Please, check input data.","Tidak dapat menyimpan alamat. Silakan, periksa data masukan."
Cannot place order.,Tidak dapat melakukan pemesanan.
"Carrier with such method not found: %1, %2","Kurir dengan metode tersebut tidak ditemukan: %1, %2"
error123,error123
Cart isn't assigned to correct store,Cart isn't assigned to correct store
Something went wrong. Please try to place the order again.,Something went wrong. Please try to place the order again.
Some addresses can't be used due to the configurations for specific countries.,Some addresses can't be used due to the configurations for specific countries.
Please check the shipping address information.,Please check the shipping address information.
The shipping method is missing. Select the shipping method and try again.,The shipping method is missing. Select the shipping method and try again.
Please check the billing address information.,Please check the billing address information.
Enter a valid payment method and try again.,Enter a valid payment method and try again.
Unable to place order. Please try again later.,Tidak dapat melakukan pemesanan. Silakan coba lagi nanti.
The address failed to save. Verify the address and try again.,The address failed to save. Verify the address and try again.
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
The coupon code couldn't be applied. Verify the coupon code and try again.,The coupon code couldn't be applied. Verify the coupon code and try again.
The coupon code isn't valid. Verify the code and try again.,The coupon code isn't valid. Verify the code and try again.
The coupon code couldn't be deleted. Verify the coupon code and try again.,The coupon code couldn't be deleted. Verify the coupon code and try again.
You don't have the correct permissions to assign the customer to the cart.,You don't have the correct permissions to assign the customer to the cart.
The shipping address is missing. Set the address and try again.,The shipping address is missing. Set the address and try again.
The %1 Cart doesn't contain the %2 item.,The %1 Cart doesn't contain the %2 item.
The quote couldn't be saved.,The quote couldn't be saved.
The item couldn't be removed from the quote.,The item couldn't be removed from the quote.
The quote can't be created.,The quote can't be created.
The customer can't be assigned to the cart. The cart belongs to a different store.,The customer can't be assigned to the cart. The cart belongs to a different store.
The customer can't be assigned to the cart because the cart isn't anonymous.,The customer can't be assigned to the cart because the cart isn't anonymous.
The customer can't be assigned to the cart because the customer already has an active cart.,The customer can't be assigned to the cart because the customer already has an active cart.
A server error stopped your order from being placed. Please try to place your order again.,A server error stopped your order from being placed. Please try to place your order again.
"The Cart includes virtual product(s) only, so a shipping address is not used.","The Cart includes virtual product(s) only, so a shipping address is not used."
The shipping method can't be set. %1,The shipping method can't be set. %1
The shipping method can't be set for an empty cart. Add an item to cart and try again.,The shipping method can't be set for an empty cart. Add an item to cart and try again.
Current customer does not have an active cart.,Current customer does not have an active cart.
Shopping cart error: %message,Shopping cart error: %message
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
Could not add the product with SKU %sku to the shopping cart: %message,Could not add the product with SKU %sku to the shopping cart: %message
"Missing key ""sku"" in cart item data","Missing key ""sku"" in cart item data"
"Missing key ""qty"" in cart item data","Missing key ""qty"" in cart item data"
"Could not find a cart with ID ""%masked_cart_id""","Could not find a cart with ID ""%masked_cart_id"""
Current user does not have an active cart.,Current user does not have an active cart.
"The current user cannot perform operations on cart ""%masked_cart_id""","The current user cannot perform operations on cart ""%masked_cart_id"""
"Could not find a cart address with ID ""%cart_address_id""","Could not find a cart address with ID ""%cart_address_id"""
"The current user cannot use cart address with ID ""%cart_address_id""","The current user cannot use cart address with ID ""%cart_address_id"""
"The billing address must contain either ""customer_address_id"" or ""address"".","The billing address must contain either ""customer_address_id"" or ""address""."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","The billing address cannot contain ""customer_address_id"" and ""address"" at the same time."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Using the ""use_for_shipping"" option with multishipping is not possible."
You cannot specify multiple shipping addresses.,You cannot specify multiple shipping addresses.
"The shipping address must contain either ""customer_address_id"" or ""address"".","The shipping address must contain either ""customer_address_id"" or ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time."
You cannot specify multiple shipping methods.,You cannot specify multiple shipping methods.
"Required parameter ""cart_address_id"" is missing.","Required parameter ""cart_address_id"" is missing."
"Required parameter ""carrier_code"" is missing.","Required parameter ""carrier_code"" is missing."
"Required parameter ""method_code"" is missing.","Required parameter ""method_code"" is missing."
